Customer ID,network_age,Customer tenure in month,Total Spend in Months 1 and 2 of 2017,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,Total Call centre complaint calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn Status
ADF1642,1908,63.60,171.05,44.75,27.5,1593.4805,19,1124,967,1,2G,2G,Uxaa,Uxaa,1
ADF1646,1316,43.87,181.36,31.63,0,32.9824,14,13608,767,2,2G,2G,Uxaa,Uxaa,1
ADF1647,1280,42.67,187.7508,0,67.5,1754292.925,127,36,3208,1,2G,2G,Weematel,Uxaa,1
ADF1648,1110,37.00,191.106,11.97,0,20623.2764,336,6822,0,1,2G,2G,Uxaa,Uxaa,1
ADF1652,2187,72.90,192.592,25.65,21.25,4867.9609,74,6876,3628,1,2G,3G,Mango,Uxaa,1
ADF1653,106,3.53,193.34,3.5,1.25,758816.5312,50,9504,4675,2,2G,3G,Zintel,Uxaa,1
ADF1659,1477,49.23,207.4608,28.87,2.5,17646.5743,528,10008,2771,1,2G,2G,ToCall,Uxaa,1
ADF1660,4047,134.90,211.084,33.05,0,3122.2002,265,1308,10036,1,2G,2G,Mango,Uxaa,1
ADF1662,227,7.57,219.904,33.75,3.75,35845.0654,55,858,7990,1,2G,2G,Uxaa,Uxaa,1
ADF1664,436,14.53,224.592,10.11,1.25,10.3213,14,1279,1924,1,2G,2G,ToCall,Uxaa,1
ADF1666,1510,50.33,615.73,5.98,72.5,2076039.626,112,0,716,2,2G,3G,PQza,Uxaa,1
ADF1669,288,9.60,631.534,65.83,3.75,95146.5557,172,9395,9656,1,2G,2G,Zintel,Uxaa,1
ADF1671,2699,89.97,642.05,1.75,0,208701.9014,800,239,537,1,2G,2G,ToCall,Uxaa,1
ADF1672,3850,128.33,650.4308,14.34,1.25,19.5117,122,23007,21811,1,2G,2G,ToCall,Uxaa,1
ADF1675,1534,51.13,691.232,0,1.25,4451.5489,251,30445,5130,2,2G,3G,Mango,Uxaa,1
ADF1679,827,27.57,723.748,20.31,22.5,43013.333,801,6638,3286,1,2G,2G,Mango,Uxaa,1
ADF1682,168,5.60,738.564,25.65,0,49.0908,582,0,1977,1,2G,2G,Mango,Uxaa,1
ADF1689,187,6.23,770.6644,1.75,6.25,44769.9404,333,9480,4249,2,2G,2G,ToCall,Uxaa,1
ADF1693,4631,154.37,798.8424,34.83,6.25,256.0918,463,4338,14615,1,2G,2G,ToCall,Uxaa,1
ADF1699,938,31.27,831.59,6.48,188.48,1314517.2,18,2268,1467,3,2G,2G,Uxaa,Uxaa,1
ADF1703,128,4.27,860.53,89.95,0,101.5117,107,41184,11559,3,2G,2G,Weematel,Uxaa,1
ADF1706,1691,56.37,886.4432,55.22,11.25,355675.6787,395,1811,16222,1,2G,2G,Uxaa,Uxaa,1
ADF1716,4084,136.13,928.83,137.12,0,17.916,197,2666,23981,1,2G,2G,Mango,Uxaa,1
ADF1722,984,32.80,964.4128,59.41,11.25,126.918,233,18048,21612,1,2G,2G,Zintel,Uxaa,1
ADF1733,429,14.30,995.16,72.56,0,1.6973,199,28218,50123,1,2G,3G,PQza,Uxaa,1
ADF1737,579,19.30,1020.7932,82.35,63.75,23957.9805,189,16452,31707,2,2G,2G,Mango,Uxaa,1
ADF1738,157,5.23,1031.2108,57.62,121.25,3274262.34,139,9732,11445,4,2G,3G,Uxaa,Uxaa,1
ADF1741,2587,86.23,1062.108,61.92,0,32.7051,471,30142,26616,1,2G,2G,Weematel,Uxaa,1
ADF1761,2576,85.87,1222.2204,41.85,131.25,353759.3291,98,18635,34804,3,2G,2G,ToCall,Uxaa,1
ADF1768,1243,41.43,1256.25,218.74,246.25,16262.5264,84,31482,7761,3,2G,2G,PQza,Uxaa,1
ADF1770,793,26.43,1274.08,18.09,31.25,9882732.086,325,7635,37441,1,2G,2G,Zintel,Uxaa,1
ADF1789,1106,36.87,1382.1984,5.98,0,774782.8448,805,1434,0,3,2G,3G,Zintel,Uxaa,1
ADF1790,240,8.00,1383.9244,147.9,27.5,39738.3574,207,6792,49576,1,2G,2G,PQza,Uxaa,1
ADF1792,2073,69.10,1404.1496,174.45,27.5,2531.7246,389,14584,77299,1,2G,2G,Mango,Uxaa,1
ADF1801,155,5.17,1522.614,348.02,1.25,5.0078,290,20568,74948,1,2G,2G,PQza,Uxaa,1
ADF1807,4742,158.07,1661.1492,57.62,77.5,4307.1953,216,16650,76213,1,2G,2G,Weematel,Uxaa,1
ADF1819,2267,75.57,1881.106,8.93,17.5,481.8535,539,85260,40793,1,2G,2G,Uxaa,Uxaa,1
ADF1825,431,14.37,2127.9144,79.49,62.5,1308236.473,779,7866,79394,2,2G,3G,0,Uxaa,1
ADF1837,1168,38.93,2833.12,39.45,0,863.1045,873,0,44159,1,2G,2G,Mango,Uxaa,1
ADF1840,1119,37.30,3124.0716,3.5,1.25,26.1445,787,2900,196908,3,2G,2G,PQza,Uxaa,1
ADF1842,1668,55.60,3324.68,116.54,638.75,2416132.183,425,31716,74031,1,2G,3G,Uxaa,Uxaa,1
ADF1886,829,27.63,778.2264,8.75,251.25,392048.3506,12,311,4019,2,2G,2G,Weematel,Weematel,0
ADF1889,5181,172.70,1034.29,1.75,1.25,1354.7891,15,741,5414,2,2G,2G,0,Weematel,0
ADF1891,2630,87.67,1243.11,35.9,220,1078971.132,144,8220,40867,1,2G,3G,Uxaa,Weematel,0
ADF1897,102,3.40,74.448,16.73,0,23653.7109,13,912,2376,1,2G,2G,ToCall,Weematel,1
ADF1900,129,4.30,105.762,7.17,0,4.5273,34,0,8400,1,2G,2G,Weematel,Weematel,1
ADF1910,1822,60.73,1004.2796,21.38,8.75,144950.4023,241,10255,56951,1,2G,3G,PQza,Weematel,1
ADF1921,3888,129.60,1841.69,99.49,282.5,977056.7783,169,11973,64206,1,2G,2G,Zintel,Weematel,1
ADF1924,153,5.10,2500.2664,86.61,881.25,167937.0596,279,5124,60741,3,2G,2G,Zintel,Weematel,1
ADF1926,944,31.47,2940.18,169.37,6.25,143.9502,708,18288,207584,3,2G,2G,Mango,Weematel,1
ADF1957,1002,33.40,272.262,12.24,5,170561.3701,25,2572,1657,1,2G,2G,Uxaa,Zintel,0
ADF1960,2292,76.40,545.042,6.49,50,481967.3311,32,753,10720,1,2G,2G,Zintel,Zintel,0
ADF1964,177,5.90,956.7264,10.5,11.25,2258.7432,229,62690,12643,1,2G,2G,ToCall,Zintel,0
ADF1970,2271,75.70,4642.33,5.25,1.25,0.7559,1470,6199,186886,1,2G,2G,Zintel,Zintel,0
ADF1980,1307,43.57,141.838,0,30,882.1299,24,2665,4051,1,2G,2G,Mango,Zintel,1
ADF1981,136,4.53,146.766,4.1,32.5,2268.7032,21,2292,1361,1,2G,2G,PQza,Zintel,1
ADF1983,615,20.50,164.74,49.39,22.5,535548.8135,15,108,1362,1,2G,2G,Mango,Zintel,1
ADF1984,1128,37.60,174.47,1.75,10,126522.1094,8,0,3298,1,2G,2G,ToCall,Zintel,1
ADF1989,580,19.33,653.5,43.75,67.5,15981.833,104,1506,34791,1,2G,3G,Mango,Zintel,1
ADF1992,150,5.00,866.596,58.77,130,12076.6484,117,5856,15175,1,2G,2G,Zintel,Zintel,1
ADF1996,1458,48.60,1449.87,0,20,8781531.688,170,4104,77050,1,2G,2G,Zintel,Zintel,1
ADF1999,125,4.17,2138.6992,1.75,41.25,9014.9473,25,228,5236,1,2G,2G,ToCall,Zintel,1
ADF2000,2308,76.93,481.9,0,125,620515.1875,3,0,609,1,2G,2G,,,0
ADF0040,1342,44.73,76.92,11.96,1.25,7.5146,5,251,1004,2,3G,3G,Zintel,Mango,0
ADF0043,425,14.17,188.4484,0,53.75,15905941.53,4,114,1594,1,3G,3G,PQza,Mango,0
ADF0044,698,23.27,197.326,0,93.31,85248.3574,8,1372,632,4,3G,3G,Mango,Mango,0
ADF0046,261,8.70,219.65,5.98,48.75,343736.752,26,228,5008,1,3G,3G,Uxaa,Mango,0
ADF0048,1144,38.13,291.03,18.31,1.25,26.0684,46,2714,8978,1,3G,3G,Zintel,Mango,0
ADF0050,1014,33.80,317.618,11.96,0,1759.0693,333,3516,11525,1,3G,3G,PQza,Mango,0
ADF0052,4869,162.30,400.0004,40.24,25,560.1455,38,3167,12464,5,3G,3G,Weematel,Mango,0
ADF0054,2241,74.70,429.25,23.48,87.5,26957.125,36,4222,21625,4,3G,3G,Uxaa,Mango,0
ADF0055,966,32.20,433.328,0.01,80,8858228.871,35,630,4282,1,3G,3G,Uxaa,Mango,0
ADF0056,885,29.50,457.2504,8.33,13.75,18400.9336,45,0,16422,1,3G,3G,Weematel,Mango,0
ADF0057,6,0.20,468.4244,31.64,20,2772.2129,73,3504,19404,2,3G,3G,Mango,Mango,0
ADF0058,1698,56.60,470.5904,38.23,5,49852.2002,66,10828,16182,1,3G,3G,Zintel,Mango,0
ADF0061,3638,121.27,573.2108,34.04,33.75,22440958.85,52,216,4893,1,3G,3G,Mango,Mango,0
ADF0062,155,5.17,609.864,4.1,102.5,44579175.13,64,1524,9262,1,3G,3G,Zintel,Mango,0
ADF0064,3213,107.10,749.94,23.61,47.5,890776.1983,75,1908,17937,2,3G,3G,Mango,Mango,0
ADF0067,2898,96.60,981.85,0,0,43002.6015,87,0,7298,2,3G,3G,Mango,Mango,0
ADF0069,1326,44.20,3658.94,31.35,41.25,22332.0303,1059,13920,171215,1,3G,3G,PQza,Mango,0
ADF0070,508,16.93,6698.9676,22.75,107.5,980645.2842,1378,42894,330409,3,3G,3G,Mango,Mango,0
ADF0074,2292,76.40,38.972,19.38,2.5,422.5977,4,0,1171,1,3G,3G,Mango,Mango,1
ADF0075,2626,87.53,41.23,1.75,0,45.5547,6,228,586,8,3G,3G,Mango,Mango,1
ADF0076,1390,46.33,44.77,12.82,0,42.6963,50,228,983,2,3G,3G,Mango,Mango,1
ADF0084,1461,48.70,116.708,43.49,1.25,21.0059,16,1745,3561,1,3G,3G,PQza,Mango,1
ADF0089,130,4.33,141.01,6,3.75,5001.0449,28,360,10852,1,3G,2G,Weematel,Mango,1
ADF0093,1706,56.87,158.016,48.22,1.25,98.5938,22,1781,5175,1,3G,3G,PQza,Mango,1
ADF0097,1353,45.10,179.564,12.43,25,3515.5859,22,741,6382,1,3G,3G,ToCall,Mango,1
ADF0100,195,6.50,203.91,0,10,496.4434,50,9384,1955,1,3G,3G,Uxaa,Mango,1
ADF0102,1319,43.97,629.43,0.62,40,6246910.872,72,300,10991,2,3G,3G,Mango,Mango,1
ADF0103,1309,43.63,642.8,22.62,3.75,246.6484,56,9843,24440,1,3G,3G,Mango,Mango,1
ADF0110,643,21.43,720.944,137.27,18.75,2423.5811,141,5080,21156,1,3G,3G,ToCall,Mango,1
ADF0111,818,27.27,749.874,59.97,5,922078.9111,36,3378,24381,1,3G,3G,Zintel,Mango,1
ADF0112,2086,69.53,771.0304,31.6,5,875100.6367,222,7051,47468,1,3G,3G,Weematel,Mango,1
ADF0114,1388,46.27,780.4768,76.56,18.75,13467.8398,76,2488,32545,1,3G,3G,ToCall,Mango,1
ADF0117,2585,86.17,897.284,19.59,137.5,2229748.695,105,16902,10540,1,3G,3G,Mango,Mango,1
ADF0118,3274,109.13,1018.508,146.53,23.75,6639.9375,141,10267,43729,2,3G,3G,Uxaa,Mango,1
ADF0119,133,4.43,1108.4956,118.75,56.25,928206.748,189,2964,15151,6,3G,2G,Uxaa,Mango,1
ADF0121,634,21.13,1154.6904,9.56,325,1132914.542,48,992,17843,1,3G,3G,Weematel,Mango,1
ADF0124,274,9.13,1215.53,75,75,4970152.598,72,5532,5637,2,3G,3G,PQza,Mango,1
ADF0125,473,15.77,1229.6324,37.08,75,5429409.755,537,16344,51046,1,3G,,Weematel,Mango,1
ADF0126,2053,68.43,1309.0804,13.29,48.75,1392.9424,328,8208,92247,1,3G,3G,Uxaa,Mango,1
ADF0128,322,10.73,1321.516,23.19,7.5,2603045.233,39,0,9611,1,3G,3G,ToCall,Mango,1
ADF0129,1813,60.43,1410.868,13.7,41.25,4691.7998,244,3351,100896,1,3G,3G,Zintel,Mango,1
ADF0130,220,7.33,1574.16,10.5,307.5,11546200.34,111,396,36552,8,3G,3G,PQza,Mango,1
ADF0133,373,12.43,2083.97,46.91,476.25,1456032.609,215,16290,66527,1,3G,3G,PQza,Mango,1
ADF0134,2245,74.83,2761.8,26.7,213.75,1276707.515,76,9179,33008,1,3G,3G,0,Mango,1
ADF0136,508,16.93,3690.83,40.06,462.5,2626969.215,857,0,171947,1,3G,3G,0,Mango,1
ADF0138,214,7.13,4673.562,181.14,1043.75,3111037.6,144,51846,151965,4,3G,,ToCall,Mango,1
ADF0254,1585,52.83,4.91,0,0,25706.25,5,24,467,1,3G,3G,PQza,PQza,0
ADF0258,2495,83.17,85.61,1.24,31.25,74275.2901,5,0,1350,3,3G,3G,PQza,PQza,0
ADF0260,191,6.37,96.72,0,20,311388.7041,2,0,358,11,3G,3G,PQza,PQza,0
ADF0264,960,32.00,125.15,1.75,21.25,12096.7159,22,108,2625,1,3G,3G,Uxaa,PQza,0
ADF0265,1649,54.97,129.6908,0.01,27.5,484796.5537,18,526,537,1,3G,3G,0,PQza,0
ADF0268,1407,46.90,154.7092,0,17.5,36510850.47,10,275,1601,1,3G,,Zintel,PQza,0
ADF0270,472,15.73,174.32,5.25,37.5,310023.6357,12,228,3097,1,3G,3G,Uxaa,PQza,0
ADF0271,137,4.57,179.54,0,6.25,714382.6855,22,1164,2773,1,3G,3G,PQza,PQza,0
ADF0277,3804,126.80,230.53,12.25,8.75,312.6758,41,8856,9321,2,3G,2G,PQza,PQza,0
ADF0278,1751,58.37,233.952,13.12,15,38616.0938,45,1494,10156,1,3G,3G,Weematel,PQza,0
ADF0280,569,18.97,236.6284,18.48,20,9040.2402,52,6786,8545,3,3G,3G,PQza,PQza,0
ADF0282,2284,76.13,261.7852,5.57,11.25,702.9053,73,1579,4722,2,3G,3G,Uxaa,PQza,0
ADF0284,504,16.80,276.74,42,20,339997.5273,17,318,2752,1,3G,3G,Weematel,PQza,0
ADF0286,164,5.47,280.08,1.75,61.25,172211.9473,22,324,4545,1,3G,3G,Uxaa,PQza,0
ADF0287,143,4.77,290.602,3.5,70,8596182.165,10,120,2033,2,3G,3G,PQza,PQza,0
ADF0288,1448,48.27,309.888,0,91.25,6646839.175,11,0,2430,1,3G,,Mango,PQza,0
ADF0292,851,28.37,314.76,52.25,53.75,121679.9102,17,1095,2301,2,3G,3G,PQza,PQza,0
ADF0294,215,7.17,316.06,12.25,91.25,20587154.08,3,114,358,1,3G,3G,PQza,PQza,0
ADF0295,127,4.23,326.858,1.75,85,11379472.08,5,0,777,11,3G,3G,Mango,PQza,0
ADF0298,3609,120.30,334.31,0,83.75,801397.2559,15,1482,7696,1,3G,3G,Uxaa,PQza,0
ADF0301,250,8.33,385.7884,0,136.25,543844.5078,8,0,1432,1,3G,3G,0,PQza,0
ADF0302,872,29.07,388.5292,8.75,40,272055.3193,9,1024,608,1,3G,3G,Uxaa,PQza,0
ADF0305,931,31.03,406.38,1.75,100,4314.3526,20,318,3743,1,3G,3G,Zintel,PQza,0
ADF0306,714,23.80,417.2188,18.97,31.25,91833.8486,31,744,5891,1,3G,3G,PQza,PQza,0
ADF0307,1552,51.73,422.11,14.6,68.75,20415.502,15,980,4409,1,3G,3G,ToCall,PQza,0
ADF0310,135,4.50,434.558,3.5,123.75,3119066.825,15,804,1969,1,3G,3G,PQza,PQza,0
ADF0311,2812,93.73,440.5016,6.72,77.5,946863.3144,41,2152,4790,8,3G,3G,Weematel,PQza,0
ADF0314,1845,61.50,476.44,19.85,0,86713.3955,5,490,179,1,3G,3G,PQza,PQza,0
ADF0315,3671,122.37,476.97,19.16,183.75,466197.4561,21,992,4299,1,3G,3G,Zintel,PQza,0
ADF0316,418,13.93,480.366,1.75,52.5,23627590.98,3,0,509,1,3G,3G,PQza,PQza,0
ADF0318,233,7.77,488.0884,0,82.5,99456402.05,17,798,2049,1,3G,3G,PQza,PQza,0
ADF0319,2539,84.63,505.88,8.75,1.25,3.6846,1156,24804,8102,1,3G,3G,0,PQza,0
ADF0324,1827,60.90,580.09,0,135,9873736.892,3,0,191,2,3G,3G,PQza,PQza,0
ADF0325,257,8.57,580.1016,7,110,32422253.71,32,954,5601,6,3G,3G,Zintel,PQza,0
ADF0326,134,4.47,587.1888,4.37,98.75,12526704.7,43,24,17862,1,3G,3G,Mango,PQza,0
ADF0327,4157,138.57,678.6248,5.25,73.75,11958959.19,44,620,8007,1,3G,3G,PQza,PQza,0
ADF0328,335,11.17,715.08,0,128.75,45463510.37,17,0,3367,1,3G,,PQza,PQza,0
ADF0329,2383,79.43,723.69,0,0,422807.1201,157,0,0,3,3G,3G,Zintel,PQza,0
ADF0334,577,19.23,832.48,97.04,126.25,4214737.323,3,0,179,1,3G,3G,PQza,PQza,0
ADF0335,151,5.03,899.6324,4.7,148.75,39960102.3,33,168,3921,1,3G,3G,Mango,PQza,0
ADF0336,433,14.43,1055.466,0.01,1.25,233628.2148,317,0,2186,2,3G,3G,PQza,PQza,0
ADF0337,144,4.80,1071.582,10.5,228.75,5393514.878,19,0,4038,1,3G,3G,PQza,PQza,0
ADF0338,1439,47.97,1080.62,15.75,10,2591950.424,166,0,358,2,3G,3G,Uxaa,PQza,0
ADF0342,3811,127.03,1190.2564,3.5,13.75,170499.4209,269,726,24717,6,3G,3G,PQza,PQza,0
ADF0346,609,20.30,12.55,4.78,0,1056.668,1,0,179,1,3G,3G,PQza,PQza,1
ADF0349,103,3.43,15.532,4.78,1.25,64,2,0,358,1,3G,2G,PQza,PQza,1
ADF0357,670,22.33,21.76,0,0,3059.6924,9,502,0,5,3G,3G,Uxaa,PQza,1
ADF0358,1651,55.03,23.01,7.17,6.25,24.1104,7,570,293,1,3G,2G,PQza,PQza,1
ADF0359,172,5.73,23.692,13.7,1.25,79.1143,2,0,515,1,3G,3G,PQza,PQza,1
ADF0360,99,3.30,24.4684,1.75,3.75,87.3818,1,0,179,1,3G,,PQza,PQza,1
ADF0361,1317,43.90,24.906,11.95,3.75,32.9023,1,0,179,1,3G,3G,PQza,PQza,1
ADF0365,1568,52.27,29.52,1.75,20,745241.5137,3,0,537,1,3G,,PQza,PQza,1
ADF0369,1350,45.00,33.114,9.56,13.75,656.3877,2,0,358,1,3G,3G,PQza,PQza,1
ADF0374,1244,41.47,39.098,10.77,0,458.4746,1,0,179,1,3G,3G,PQza,PQza,1
ADF0380,986,32.87,41.5704,8.92,25,11633.4287,1,0,179,1,3G,3G,PQza,PQza,1
ADF0382,2237,74.57,42.21,4.78,25,9426.9219,3,0,537,1,3G,3G,PQza,PQza,1
ADF0389,590,19.67,43.342,29.62,5,139.3408,3,0,537,2,3G,3G,PQza,PQza,1
ADF0393,1329,44.30,46.504,13.7,0,3704.3213,5,0,1606,1,3G,3G,PQza,PQza,1
ADF0394,111,3.70,47.81,25.95,13.75,453.0557,3,0,667,1,3G,3G,PQza,PQza,1
ADF0401,1967,65.57,54.1,8.75,0,18.3936,70,696,2274,1,3G,2G,PQza,PQza,1
ADF0405,1146,38.20,55.6688,9.56,0,3013.9932,6,489,1112,1,3G,3G,Uxaa,PQza,1
ADF0411,1135,37.83,56.408,3.52,45,8103814.455,2,0,358,1,3G,3G,PQza,PQza,1
ADF0412,2943,98.10,56.44,15.21,7.5,360.6484,1,0,179,1,3G,3G,PQza,PQza,1
ADF0415,924,30.80,58.89,11.95,23.75,1044714.024,105,0,645,1,3G,3G,PQza,PQza,1
ADF0423,1143,38.10,61.198,10.03,5,199.4111,3,12,395,1,3G,2G,PQza,PQza,1
ADF0424,2231,74.37,61.6004,11.31,5,641.5312,11,108,669,1,3G,3G,Mango,PQza,1
ADF0427,1668,55.60,63.386,31.3,3.75,190.6748,6,228,716,1,3G,3G,PQza,PQza,1
ADF0428,197,6.57,64.508,23.9,6.25,334.6318,4,0,716,1,3G,2G,PQza,PQza,1
ADF0433,1469,48.97,68.88,29.79,0,1.2246,7,0,1613,2,3G,3G,PQza,PQza,1
ADF0435,1886,62.87,69.44,11.95,0,33794.6855,4,0,1027,1,3G,3G,PQza,PQza,1
ADF0436,3746,124.87,70.266,32.48,0,194.0635,2,0,407,1,3G,3G,PQza,PQza,1
ADF0437,112,3.73,73.3344,0,47.5,41317.9883,6,0,1015,2,3G,3G,Zintel,PQza,1
ADF0438,2694,89.80,75.068,37.43,5,4824.7158,4,0,716,1,3G,3G,PQza,PQza,1
ADF0448,1135,37.83,81.86,25.65,3.75,88186.9102,3,0,880,2,3G,3G,PQza,PQza,1
ADF0452,233,7.77,92.852,20.94,0,39257.6719,2,0,490,1,3G,,PQza,PQza,1
ADF0454,1502,50.07,93.666,1.2,72.5,3851397.811,8,60,537,1,3G,3G,Uxaa,PQza,1
ADF0455,222,7.40,94.504,62.08,0,187.5537,3,216,395,1,3G,2G,Uxaa,PQza,1
ADF0459,441,14.70,102.016,0.01,7.5,3741303.069,2,12,179,1,3G,3G,PQza,PQza,1
ADF0461,123,4.10,104.2408,2.39,40,7017161.825,6,0,3116,1,3G,2G,PQza,PQza,1
ADF0463,1303,43.43,105.56,32.18,1.25,10.5029,11,1920,1300,1,3G,3G,PQza,PQza,1
ADF0466,746,24.87,114.9,14.94,13.75,71159.9229,15,131,2978,1,3G,3G,PQza,PQza,1
ADF0469,3384,112.80,118.778,16.73,53.75,174737.1826,1,0,179,1,3G,3G,PQza,PQza,1
ADF0470,671,22.37,118.952,4.78,56.25,151865.1455,5,0,895,1,3G,3G,PQza,PQza,1
ADF0472,942,31.40,125.15,1.75,21.25,12096.7159,22,108,2625,1,3G,3G,PQza,PQza,1
ADF0474,123,4.10,125.8,15.75,35,11007903.08,8,2508,2409,2,3G,3G,PQza,PQza,1
ADF0476,107,3.57,132.912,0,20,1363375.378,16,0,2470,1,3G,3G,Weematel,PQza,1
ADF0479,976,32.53,135.5948,22.07,6.25,28.6211,12,762,3000,1,3G,3G,PQza,PQza,1
ADF0482,2443,81.43,139.426,20.87,3.75,192,28,84,4469,1,3G,3G,PQza,PQza,1
ADF0483,2605,86.83,140.6,35.85,38.75,152983.708,233,0,895,1,3G,3G,PQza,PQza,1
ADF0487,618,20.60,142.51,35.21,0,7448.8613,19,1014,3378,1,3G,3G,Weematel,PQza,1
ADF0489,2903,96.77,148.444,36.94,12.5,426885.2852,8,0,1576,1,3G,3G,PQza,PQza,1
ADF0495,1067,35.57,155.568,3.5,56.25,109394.7109,3,0,537,2,3G,3G,PQza,PQza,1
ADF0496,1628,54.27,163.554,20.23,41.25,11338.4248,24,0,6931,1,3G,,ToCall,PQza,1
ADF0500,1420,47.33,174.5888,15.45,47.5,625312.2119,2,0,358,1,3G,3G,PQza,PQza,1
ADF0502,122,4.07,181.868,2.41,12.5,240273.6006,19,12,2416,2,3G,3G,Zintel,PQza,1
ADF0503,1962,65.40,184.4104,0.6,0,209621.2959,6,933,537,1,3G,3G,Uxaa,PQza,1
ADF0504,1916,63.87,187.1104,12.55,63.75,2491.7158,8,502,1601,1,3G,3G,PQza,PQza,1
ADF0505,3702,123.40,187.5,30.98,0,40543.8496,18,287,5043,1,3G,3G,Zintel,PQza,1
ADF0506,2282,76.07,192.716,20.23,2.5,22163.0821,16,48,3429,1,3G,3G,Uxaa,PQza,1
ADF0509,2528,84.27,197.31,39.35,1.25,16.3115,27,8067,3585,1,3G,3G,Uxaa,PQza,1
ADF0514,197,6.57,206.1416,6.12,7.5,300.4922,19,780,3853,21,3G,3G,Uxaa,PQza,1
ADF0515,1273,42.43,208.0276,7,46.25,22021658.22,3,0,472,1,3G,3G,PQza,PQza,1
ADF0519,471,15.70,212.668,13.7,25,435252.5381,2,0,358,1,3G,3G,PQza,PQza,1
ADF0522,3721,124.03,214.68,45.54,90,359042.4961,58,622,537,1,3G,3G,PQza,PQza,1
ADF0527,2117,70.57,655.7008,20.88,108.75,746180.3975,6,738,827,1,3G,3G,PQza,PQza,1
ADF0529,352,11.73,659.76,20.07,20,108975.8447,107,9406,36021,2,3G,3G,PQza,PQza,1
ADF0530,2947,98.23,661.55,66.73,32.5,1305606.714,90,2916,11871,1,3G,3G,ToCall,PQza,1
ADF0531,2802,93.40,665.318,18.48,2.5,1825127.302,174,477,6679,1,3G,3G,Mango,PQza,1
ADF0532,92,3.07,672.24,68.89,62.5,232209.208,121,20963,16896,49,3G,3G,Mango,PQza,1
ADF0540,337,11.23,883.5572,59.08,35,1794729.694,122,7608,22827,1,3G,3G,Mango,PQza,1
ADF0542,206,6.87,902.388,64.39,68.75,710991.4942,55,3450,9335,2,3G,3G,Zintel,PQza,1
ADF0544,489,16.30,946.768,37.26,21.25,34290.2334,296,2069,41250,1,3G,3G,PQza,PQza,1
ADF0546,162,5.40,1013.98,172.01,137.5,1081173.539,63,4095,24924,1,3G,3G,Mango,PQza,1
ADF0547,1745,58.17,1030.65322,69.01,136.25,2891582.573,16,12,2685,1,3G,2G,Uxaa,PQza,1
ADF0548,363,12.10,1097.2004,83.52,25,459614.2197,415,0,22808,1,3G,3G,Mango,PQza,1
ADF0550,368,12.27,1151.388,95.4,88.75,866902.1221,47,4665,12185,1,3G,2G,Zintel,PQza,1
ADF0551,1532,51.07,1160.52,8.92,1.25,13.6055,111,6678,68051,1,3G,3G,PQza,PQza,1
ADF0552,179,5.97,1218.572,188.59,0,18.4258,317,30120,25354,1,3G,3G,Uxaa,PQza,1
ADF0553,1779,59.30,1219.9,21.98,180,4179691.603,19,1908,4456,2,3G,3G,PQza,PQza,1
ADF0554,471,15.70,1241.4012,7.21,63.55,7209087.081,530,4904,12104,3,3G,3G,Zintel,PQza,1
ADF0555,2185,72.83,1264.97,128.43,22.5,438808.2159,165,11969,47967,15,3G,3G,Zintel,PQza,1
ADF0556,136,4.53,1363.136,175.88,143.75,2015667.562,157,18540,11831,2,3G,3G,ToCall,PQza,1
ADF0557,117,3.90,1367.682,269.5,20,692988.9336,198,24450,57470,2,3G,3G,Uxaa,PQza,1
ADF0558,2013,67.10,1419.982,19.25,206.25,2259772.761,30,992,44084,1,3G,3G,ToCall,PQza,1
ADF0560,452,15.07,1687.68,17.95,31.25,12370663.76,578,0,1290,1,3G,3G,Uxaa,PQza,1
ADF0583,129,4.30,217.11,7.73,43.75,74870.207,39,2952,8709,1,3G,3G,Mango,ToCall,0
ADF0589,146,4.87,546.65,28.64,12.5,106060.4463,87,1470,37670,1,3G,3G,ToCall,ToCall,0
ADF0591,1239,41.30,686.298,22.74,176.25,1322.0596,75,6948,13334,1,3G,3G,Weematel,ToCall,0
ADF0592,571,19.03,694.792,5.25,47.5,43008956.74,17,311,5345,1,3G,3G,Mango,ToCall,0
ADF0599,2081,69.37,1230.82,6.85,23.75,283468.3819,125,7852,41160,1,3G,3G,Uxaa,ToCall,0
ADF0600,494,16.47,42.758,15.45,1.25,395.8428,4,1697,502,1,3G,3G,Mango,ToCall,1
ADF0602,211,7.03,55.898,0,1.25,4257006.446,7,0,1364,5,3G,3G,ToCall,ToCall,1
ADF0613,1859,61.97,93.9524,31.54,1.25,0.2246,8,0,2488,1,3G,2G,ToCall,ToCall,1
ADF0618,405,13.50,143.9584,14.9,32.5,1989145.399,21,330,2355,1,3G,3G,PQza,ToCall,1
ADF0619,3099,103.30,159.0648,26.18,22.5,15801.0879,32,2082,4107,1,3G,3G,ToCall,ToCall,1
ADF0625,399,13.30,682.79,19.7,81.25,5882498.729,27,846,10522,1,3G,3G,Mango,ToCall,1
ADF0626,238,7.93,707.6352,22.45,210,85675.5967,75,3786,11692,1,3G,3G,ToCall,ToCall,1
ADF0627,2087,69.57,711.7604,32.74,6.25,221.0459,112,5260,27573,1,3G,3G,0,ToCall,1
